codigo,detalle_url,item,principio_activo,forma_farmaceutica,concentracion,presentacion_comercial,estado,presupuesto,provincia,canton,fecha_publicacion
SICM-432-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=uUZwaB0u0guR3luWJhKQ1ts_NApwvErmPLWP1uO-kio,","DCI: LEVOTIROXINA SÓDICA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 112 MCG / 0,112 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA",Levotiroxina Sódica,Sólido Oral,"112 MCG / 0,112 MG",Caja X Blíster/Ristra,Adjudicado oferente ganador,0.08,Pichincha , Quito,2022-06-20 08:00:00
SICM-437-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=77UfyixHWWmyityKhkwpZT3FnX2BqBcur7AwiUv6GEY,","DCI: MERCAPTOPURINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA/FRASCO DOSIS PERSONAL, NO ENVASE HOSPITALARIO",Mercaptopurina,Sólido Oral,50 MG,"Caja X Blíster/Ristra/Frasco Dosis Personal, No Envase Hospitalario",Adjudicado oferente ganador,0.5,Pichincha , Quito,2022-06-20 08:00:00
SICM-395-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=TMLsgmw23DpAHE_tyzVBbBszTx3PCYuxcb-OwbQZjw0,",DCI: PRODUCTOS CON ZINC - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: NO DEFINIDO - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 30 G -MÍNIMO-,Productos Con Zinc,Semisólido Cutáneo,NO DEFINIDO,Caja X Tubo X 30 G -Mínimo-,Adjudicado oferente ganador,1.1,Pichincha , Quito,2022-05-27 08:00:00
SICM-399-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=HEMcmj8fw2VvsHlCC8Tyn1qlBeGhXHMJuX0EV5AxR0E,",DCI: RIVAROXABÁN - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 15 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Rivaroxabán,Sólido Oral,15 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.88,Pichincha , Quito,2022-05-27 08:00:00
SICM-401-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=k5BkVnQgOdjfGhR6qWMBZy_2tSWlf87P9MzAhp-xwHE,",DCI: SEVOFLURANO - FORMA FARMACÉUTICA: LÍQUIDO PARA INHALACIÓN - CONCENTRACIÓN: 1 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X FRASCO X 250 ML,Sevoflurano,Líquido Para Inhalación,1 MG/ML,Caja X Frasco X 250 Ml,Adjudicado otros oferentes,54.0,Pichincha , Quito,2022-05-27 08:00:00
SICM-404-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=4z-oOoaMkTbHJVm7oy_jQI00yZthMlgSHYMjNlBLmX0,","DCI: TIROFIBÁN - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 0,25 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- X 50 ML",Tirofibán,Líquido Parenteral,"0,25 MG/ML",Caja X Vial-Es- X 50 Ml,Adjudicado oferente ganador,132.25228,Pichincha , Quito,2022-05-27 08:00:00
SICM-405-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=xB6Ig73lEDTXLQ4gvgmiKQIfUq-4LzvB8ilJod_0ogo,","DCI: TOBRAMICINA - FORMA FARMACÉUTICA: SEMISÓLIDO OFTÁLMICO - CONCENTRACIÓN: 0,3 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 5 G",Tobramicina,Semisólido Oftálmico,"0,3 %",Caja X Tubo X 5 G,Adjudicado oferente ganador,1.36771,Pichincha , Quito,2022-05-27 08:00:00
SICM-407-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=IJlrsdNMKE-NQT9ZaRJKSHCW8FW3UhsbnqSWrGfes44,",DCI: TRAMADOL - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 50 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 2 ML,Tramadol,Líquido Parenteral,50 MG/ML,Caja X Ampolla-S- X 2 Ml,Adjudicado oferente ganador,0.16,Pichincha , Quito,2022-05-27 08:00:00
SICM-408-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ljtSTecRp72zQT2SYkoDucuMXYxpSAg1i7vCGK4SyP4,",DCI: ACETILCISTEÍNA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 100 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 3 ML,Acetilcisteína,Líquido Parenteral,100 MG/ML,Caja X Ampolla-S- X 3 Ml,Adjudicado otros oferentes,0.55542,Pichincha , Quito,2022-05-27 08:00:00
SICM-381-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=sRw3YiT4FubaYxVuhY8r9139GWSEfHUDyg33QYXUCpc,","DCI: LEVONORGESTREL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN:1,5 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA",Levonorgestrel,Sólido Oral,,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.4,Pichincha , Quito,2022-05-27 08:00:00
SICM-383-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=fDYzuoMXgiHyiAoLrab1P0yXR6E9CSfzLi0YM3HCDIs,","DCI: LEVONORGESTREL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 0,030 MG - PRESENTACIÓN COMERCIAL: CAJA X BLISTER/RISTRA -CICLO-",Levonorgestrel,Sólido Oral,"0,030 MG",Caja X Blister/Ristra -Ciclo-,Adjudicado oferente ganador,0.0799,Pichincha , Quito,2022-05-27 08:00:00
SICM-384-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=L3Je2n2Rsq1iy4lg7TZ--_3Zy3r1RiqF_OOK-CEz3RE,",DCI: LEVONORGESTREL + ETINILESTRADIOL - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 150 MCG + 30 MCG - PRESENTACIÓN COMERCIAL: CAJA X BLISTER/RISTRA -CICLO-,Levonorgestrel + Etinilestradiol,Sólido Oral,150 MCG + 30 MCG,Caja X Blister/Ristra -Ciclo-,Adjudicado oferente ganador,0.07,Pichincha , Quito,2022-05-27 08:00:00
SICM-387-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=z1EtnCQ96PJiCg_Bn0izyKdiL8YIPiuVwsHLecINztg,",DCI: METILPREDNISOLONA -SUCCINATO- - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 125 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- CON DISOLVENTE,Metilprednisolona,Sólido Parenteral,125 MG,Caja X Vial-Es- Con Disolvente,Adjudicado otros oferentes,3.0,Pichincha , Quito,2022-05-27 08:00:00
SICM-388-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=XPINk8pnQ-LvZFpUBWNtVJiEWtFbZzvxjG74IWU-XAY,",DCI: METILPREDNISOLONA -SUCCINATO- - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- CON DISOLVENTE,Metilprednisolona,Sólido Parenteral,500 MG,Caja X Vial-Es- Con Disolvente,Adjudicado otros oferentes,8.15582,Pichincha , Quito,2022-05-27 08:00:00
SICM-389-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=pl21Uo1kJPA_5QdLg_s8wdsp4CfyGoEDzWo3BjpEAuc,",DCI: METOCLOPRAMIDA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 5 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 2 ML,Metoclopramida,Líquido Parenteral,5 MG/ML,Caja X Ampolla-S- X 2 Ml,Adjudicado otros oferentes,0.10026,Pichincha , Quito,2022-05-27 08:00:00
SICM-392-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=jvxwklwq0nxAB6rqB0HX6QoywQTWoErEXi9o8vsqCMM,","DCI: NALOXONA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 0,4 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 1 ML",Naloxona,Líquido Parenteral,"0,4 MG/ML",Caja X Ampolla-S- X 1 Ml,Adjudicado otros oferentes,8.17777,Pichincha , Quito,2022-05-27 08:00:00
SICM-364-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Yh9-rY-APPskEimn0CH75TDRRonL3z9QMzkbnIs8Jz8,",DCI: FITOMENADIONA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 10 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLAS X 1 ML,Fitomenadiona,Líquido Parenteral,10 MG/ML,Caja X Ampollas X 1 Ml,Adjudicado otros oferentes,0.27,Pichincha , Quito,2022-05-26 08:00:00
SICM-349-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=B_BUINWZEqamL59Yz2L2oZcXqBWg8tWC2YsKx38IyRs,",DCI: DEXAMETASONA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 8 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Dexametasona,Sólido Oral,8 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.16532,Pichincha , Quito,2022-05-26 08:00:00
SICM-351-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=IPqpzvO4edLi3788OI-c3wzaFjAh1fm5ljaSPryco0w,",DCI: DICLOFENACO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 25 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLAS X 3 ML,Diclofenaco,Líquido Parenteral,25 MG/ML,Caja X Ampollas X 3 Ml,Adjudicado oferente ganador,0.09,Pichincha , Quito,2022-05-26 08:00:00
SICM-368-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=gGb8SPhsRttgSWspmxG9Qafx5HkdycknrJNiwl4sAq0,",DCI: FUROSEMIDA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 10 MG/ML 20 MG/2 ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S-,Furosemida,Líquido Parenteral,10 MG/ML 20 MG/2 ML,Caja X Ampolla-S-,Adjudicado otros oferentes,0.151,Pichincha , Quito,2022-05-26 08:00:00
SICM-359-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=7CBCvwTBjvqLEWEnM9g_7CUKX-1RMWeMtyZyudi0E5I,","DCI: ELECTROLITOS CON CARBOHIDRATOS DEXTROSA EN SOLUCIÓN SALINA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 5 % + 0,9% - PRESENTACIÓN COMERCIAL: FUNDA/BOLSA FLEXIBLE Y AUTOCOLAPSABLE X 1000 ML CON SOBREFUNDA SELLADA HERMÉTICAMENTE",Electrolitos Con Carbohidratos Dextrosa En Solución Salina,Líquido Parenteral,"5 % + 0,9%",Funda/Bolsa Flexible Y Autocolapsable X 1000 Ml Con Sobrefunda Sellada Herméticamente,Adjudicado oferente ganador,1.05,Pichincha , Quito,2022-05-26 08:00:00
SICM-375-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=aSe8e2I37Gv-21IPJJATA4K6u64flHq03GOSPwBTZNk,","DCI: HIDROCORTISONA, SUCCINATO SÓDICO - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- CON DISOLVENTE","Hidrocortisona, Succinato Sódico",Sólido Parenteral,100 MG,Caja X Vial-Es- Con Disolvente,Adjudicado oferente ganador,0.38331,Pichincha , Quito,2022-05-26 08:00:00
SICM-376-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=mI3EmiSd3ag6prrOp917l2QZnjY7gAQB6wmeiItgrLc,","DCI: HIDROCORTISONA, SUCCINATO SÓDICO - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- CON DISOLVENTE","Hidrocortisona, Succinato Sódico",Sólido Parenteral,500 MG,Caja X Vial-Es- Con Disolvente,Adjudicado oferente ganador,1.69909,Pichincha , Quito,2022-05-26 08:00:00
SICM-377-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=hXs0FMzKzOP6FMDGfztxlIAjrzjQvw7ChO1QUjA9sH4,","DCI: HIERRO SACARATADO, ÓXIDO DE - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 100 MG/5 ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 5 ML","Hierro Sacaratado, Óxido De",Líquido Parenteral,100 MG/5 ML,Caja X Ampolla-S- X 5 Ml,Adjudicado otros oferentes,1.00986,Pichincha , Quito,2022-05-26 08:00:00
SICM-334-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=yGU5bQSPi4A3eJvdGfiXcau7KcloO4J2eZzG1s-KWB4,",DCI: CLORPROMAZINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Clorpromazina,Sólido Oral,100 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.14,Pichincha , Quito,2022-05-25 08:00:00
SICM-336-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=XxziIV1behIH1uHXNqNPZZgmgTeZtkWv4z6yFTr6kYQ,","DCI: CLORURO DE SODIO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 0,9 % - PRESENTACIÓN COMERCIAL: FUNDA/BOLSA FLEXIBLE Y AUTOCOLAPSABLE X 100 ML CON SOBREFUNDA SELLADA HERMÉTICAMENTE",Cloruro De Sodio,Líquido Parenteral,"0,9 %",Funda/Bolsa Flexible Y Autocolapsable X 100 Ml Con Sobrefunda Sellada Herméticamente,Adjudicado oferente ganador,0.62,Pichincha , Quito,2022-05-25 08:00:00
SICM-337-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=16-2BoAPg7Y8FvSG89W1rhCslNIKCxS_Jb5szcB7cFY,","DCI: CLORURO DE SODIO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 0,9 % - PRESENTACIÓN COMERCIAL: FUNDA/BOLSA FLEXIBLE Y AUTOCOLAPSABLE X 250 ML CON SOBREFUNDA SELLADA HERMÉTICAMENTE",Cloruro De Sodio,Líquido Parenteral,"0,9 %",Funda/Bolsa Flexible Y Autocolapsable X 250 Ml Con Sobrefunda Sellada Herméticamente,Adjudicado oferente ganador,0.55105,Pichincha , Quito,2022-05-25 08:00:00
SICM-338-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=ZeM8YwuLrAULnIBUYGpf2SQ9wx4L8Oo4UtqcSLkJd54,","DCI: CLORURO DE SODIO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 0,9 % - PRESENTACIÓN COMERCIAL: FUNDA/BOLSA FLEXIBLE Y AUTOCOLAPSABLE X 500 ML CON SOBREFUNDA SELLADA HERMÉTICAMENTE",Cloruro De Sodio,Líquido Parenteral,"0,9 %",Funda/Bolsa Flexible Y Autocolapsable X 500 Ml Con Sobrefunda Sellada Herméticamente,Adjudicado oferente ganador,0.65641,Pichincha , Quito,2022-05-25 08:00:00
SICM-340-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=NOuJm3N1ak7HHmZ93Avgod0r1W3qTpBRzVpn_V9aMfw,","DCI: CLORURO DE SODIO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 3,4 MEQ/ML 20 % - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 10 ML",Cloruro De Sodio,Líquido Parenteral,"3,4 MEQ/ML 20 %",Caja X Ampolla-S- X 10 Ml,Adjudicado oferente ganador,0.21381,Pichincha , Quito,2022-05-25 08:00:00
SICM-344-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=88HHvIc0sbZoxW7BPs5XWVguGD6Bc8vdMJIhvpqImg4,",DCI: COMBINACIONES -LACTATO DE RINGER - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: NO DEFINIDO - PRESENTACIÓN COMERCIAL: FUNDA/BOLSA FLEXIBLE Y AUTOCOLAPSABLE X 500 ML CON SOBREFUNDA SELLADA HERMÉTICAMENTE,Combinaciones,Líquido Parenteral,NO DEFINIDO,Funda/Bolsa Flexible Y Autocolapsable X 500 Ml Con Sobrefunda Sellada Herméticamente,Adjudicado otros oferentes,1.105,Pichincha , Quito,2022-05-25 08:00:00
SICM-347-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=kQdDQLYma_l97kUHf4jqyVMi8quzak9AMWRd_LmJKuk,",DCI: DEXAMETASONA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 4 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 1 ML,Dexametasona,Líquido Parenteral,4 MG/ML,Caja X Ampolla-S- X 1 Ml,Adjudicado otros oferentes,0.13128,Pichincha , Quito,2022-05-25 08:00:00
SICM-348-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=quoE4MP7PQV14ViNipAVq9uaeWOJnCf0eeRu3HQp2Nk,",DCI: DEXAMETASONA - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 4 MG/ML - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 2 ML,Dexametasona,Líquido Parenteral,4 MG/ML,Caja X Ampolla-S- X 2 Ml,Adjudicado otros oferentes,0.14138,Pichincha , Quito,2022-05-25 08:00:00
SICM-333-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=VQTVtrfhAvV6pqnxFMoFCXUdOjJfB5JBUmdkebXi-LU,",DCI: CLOROQUINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 250 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Cloroquina,Sólido Oral,250 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.04,Pichincha , Quito,2022-05-25 08:00:00
SICM-304-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=In4lH_W7g1Co7IFMDpTyJpVnCW4UXJ9OVybAiNRvORE,",DCI: AMPICILINA - FORMA FARMACÉUTICA: SÓLIDO PARENTERAL - CONCENTRACIÓN: 1 000 MG - PRESENTACIÓN COMERCIAL: CAJA X VIAL-ES- CON DILUYENTE - CAJA X VIAL-ES-,Ampicilina,Sólido Parenteral,1 000 MG,Caja X Vial-Es- Con Diluyente - Caja X Vial-Es-,Adjudicado oferente ganador,0.17,Pichincha , Quito,2022-05-24 08:00:00
SICM-313-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=tCwyJ4InFXEmESdz_LPwPYcaeqaIVdem7_xmfBNf9lU,",DCI: CALCIO GLUCONATO - FORMA FARMACÉUTICA: LÍQUIDO PARENTERAL - CONCENTRACIÓN: 10 % - PRESENTACIÓN COMERCIAL: CAJA X AMPOLLA-S- X 10 ML,Calcio Gluconato,Líquido Parenteral,10 %,Caja X Ampolla-S- X 10 Ml,Adjudicado oferente ganador,0.26256,Pichincha , Quito,2022-05-24 08:00:00
SICM-276-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=uyjRXoCMzNLTSJtAqogc6dKTR7I7hAbiHdYYjGQv0UU,",DCI: RIVAROXABÁN - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 10 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Rivaroxabán,Sólido Oral,10 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.88,Pichincha , Quito,2022-05-04 08:00:00
SICM-277-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=SxVfYDRv73L7rj7ds0QTh9t86-4_tzmQ2gnKHn0HCes,",DCI: SILDENAFILO - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 100 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Sildenafilo,Sólido Oral,100 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.275,Pichincha , Quito,2022-05-04 08:00:00
SICM-262-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=UjlASkXG4M6ZjLfNbRDxwCulp6OJpYd-P3upX0yoSjM,",DCI: SULFADIAZINA DE PLATA - FORMA FARMACÉUTICA: SEMISÓLIDO CUTÁNEO - CONCENTRACIÓN: 1 % - PRESENTACIÓN COMERCIAL: CAJA X TUBO X 30 G -MÍNIMO-,Sulfadiazina De Plata,Semisólido Cutáneo,1 %,Caja X Tubo X 30 G -Mínimo-,Adjudicado oferente ganador,0.99976,Pichincha , Quito,2022-05-04 08:00:00
SICM-279-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=YMqbnmTVS8qHIOcpYZXosC_KlF-VfxQ1gzYkA3Kz-Ps,",DCI: BIPERIDENO - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 2 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Biperideno,Sólido Oral,2 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.03959,Pichincha , Quito,2022-05-04 08:00:00
SICM-280-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=r9ni_YaovTxj9VuTXM3bjRtLl6-oN2cHWTlHY7GtNI4,",DCI: CLORTALIDONA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 50 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Clortalidona,Sólido Oral,50 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.04039,Pichincha , Quito,2022-05-04 08:00:00
SICM-283-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=RLaZEzgcvkj-NfOBEXZPtnuETO5v1674qtVxj896UDk,","DCI: LEVOTIROXINA SÓDICA - FORMA FARMACÉUTICA:SÓLIDO ORAL - CONCENTRACIÓN: 125 MCG - 0,125 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA",Levotiroxina Sódica,,"125 MCG - 0,125 MG",Caja X Blíster/Ristra,Adjudicado oferente ganador,0.05,Pichincha , Quito,2022-05-04 08:00:00
SICM-284-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=3jzAJ7qC4AXzdDJkjgqS5j_hx-eOJcv4Tq65f71TcCI,","DCI: LEVOTIROXINA SÓDICA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 150 MCG - 0,150 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA",Levotiroxina Sódica,Sólido Oral,"150 MCG - 0,150 MG",Caja X Blíster/Ristra,Adjudicado oferente ganador,0.1058,Pichincha , Quito,2022-05-04 08:00:00
SICM-285-2022,"https://modulocomprascorporativas.compraspublicas.gob.ec/ProcesoContratacion/compras/PC/informacionProcesoContratacion2.cpe?idSoliCompra=Lz7gSPgpreTvkSankvCyEZsYYufcRz6e1QqmjbIcbdA,",DCI: MESALAZINA - FORMA FARMACÉUTICA: SÓLIDO ORAL - CONCENTRACIÓN: 500 MG - PRESENTACIÓN COMERCIAL: CAJA X BLÍSTER/RISTRA,Mesalazina,Sólido Oral,500 MG,Caja X Blíster/Ristra,Adjudicado oferente ganador,0.774,Pichincha , Quito,2022-05-04 08:00:00
